Plot	Number	Species	x	y	dbh	height
1	1	2	1.331	0.904	11.80	14.15
1	2	2	1.115	1.618	8.30	8.80
1	3	1	0.858	3.101	18.30	23.30
1	4	2	0.552	11.666	25.80	13.65
1	5	2	0.394	14.977	13.20	11.05
1	6	2	0.977	16.488	16.20	12.75
1	7	2	2.047	20.377	18.70	13.75
1	8	2	0.905	24.667	17.80	13.10
1	9	2	2.817	27.809	12.60	10.70
1	10	2	0.691	28.738	17.40	12.10
1	11	2	5.139	26.809	13.50	9.95
1	12	2	3.710	26.034	22.60	13.05
1	13	2	6.169	25.520	10.60	10.25
1	14	2	5.497	25.178	11.20	10.40
1	15	2	3.984	24.094	16.00	14.10
1	16	2	5.495	22.135	16.10	14.10
1	17	2	5.096	20.893	19.20	15.10
1	18	2	4.563	16.772	14.50	13.65
1	19	2	2.475	12.934	9.40	6.90
1	20	2	3.297	8.851	22.30	15.30
1	21	2	2.784	6.474	10.20	11.05
1	22	2	2.095	5.906	11.00	8.20
1	23	2	2.515	5.146	30.00	17.50
1	24	1	2.904	3.720	17.30	21.90
1	25	2	5.759	2.134	6.90	6.70
1	26	2	5.225	2.236	16.30	9.70
1	27	2	7.062	4.051	19.30	14.70
1	28	2	4.752	5.825	9.10	7.65
1	29	2	4.804	9.124	6.70	5.70
1	30	2	6.093	9.443	6.60	4.55
1	31	2	6.299	10.679	7.20	4.70
1	32	2	5.018	11.110	17.30	12.55
1	33	2	7.743	15.437	12.60	10.55
1	34	2	7.185	15.280	18.40	14.00
1	35	2	7.506	20.507	11.10	11.50
1	36	2	7.250	22.978	9.40	8.70
1	37	2	6.750	24.169	6.80	8.30
1	38	2	8.430	26.782	11.70	8.05
1	39	1	8.108	30.912	56.70	21.95
1	40	2	12.819	29.420	10.50	10.05
1	41	2	10.172	29.779	7.10	6.85
1	42	1	10.100	19.741	50.70	21.90
1	43	1	11.477	19.124	17.40	11.40
1	44	2	12.733	19.281	8.10	9.25
1	45	2	12.442	18.867	6.00	7.85
1	46	1	12.306	16.344	45.60	24.30
1	47	2	11.693	2.336	13.20	9.05
1	48	2	12.946	2.098	40.90	17.50
1	49	2	14.582	9.174	11.00	9.75
1	50	2	13.904	9.330	6.40	5.50
1	51	2	16.637	10.198	10.60	6.30
1	52	2	14.141	10.735	6.80	7.45
1	53	2	14.039	12.245	15.60	10.35
1	54	2	16.012	11.296	6.50	6.70
1	55	2	14.324	17.174	11.30	10.55
1	56	2	14.254	18.540	10.50	8.75
1	57	2	13.155	22.113	24.10	16.95
1	58	2	13.473	23.029	8.40	6.10
1	59	2	14.181	26.299	6.30	5.95
1	60	2	14.000	26.592	8.50	5.95
1	61	2	14.618	28.723	9.40	9.25
1	62	1	13.529	29.115	50.00	22.45
1	64	2	15.201	30.454	9.60	9.75
1	65	2	15.617	25.897	6.20	5.60
1	67	1	18.556	23.377	28.40	17.30
1	68	2	18.313	21.233	7.70	6.95
1	69	2	15.639	20.508	8.20	7.25
1	70	1	15.809	19.290	52.20	20.55
1	71	1	17.985	17.801	24.30	17.50
1	72	2	18.206	16.418	6.80	6.00
1	73	2	17.228	15.838	6.00	6.75
1	74	1	17.540	14.273	55.50	24.05
1	75	2	18.212	12.795	16.70	11.05
1	76	3	20.167	2.192	12.20	7.00
1	77	2	23.099	1.000	10.10	8.90
1	78	2	26.104	0.608	9.90	9.05
1	79	2	25.844	1.359	9.90	9.25
1	80	2	24.824	2.904	14.30	13.95
1	81	2	22.548	6.983	7.50	5.75
1	82	2	21.766	8.217	16.00	13.90
1	83	2	22.745	10.790	7.90	8.25
1	84	2	21.214	11.606	10.50	10.90
1	87	2	20.973	18.236	6.10	8.80
1	89	1	20.536	21.132	16.00	9.55
1	90	1	21.389	21.371	29.90	14.30
1	91	1	21.695	21.668	18.20	11.35
1	92	3	26.764	23.394	7.90	6.65
1	93	1	26.873	21.489	41.40	21.40
1	94	1	30.326	21.232	31.80	19.55
1	95	2	30.029	20.165	8.80	6.40
1	96	2	29.739	19.490	6.90	5.65
1	97	1	25.259	18.601	21.50	9.60
1	98	1	25.924	17.333	40.60	25.75
1	99	1	28.219	16.333	78.30	28.00
1	100	2	26.560	14.138	7.50	5.75
1	101	1	29.301	12.783	30.20	25.65
1	102	2	26.684	11.764	18.30	15.80
1	103	2	28.810	10.450	30.00	20.70
1	104	2	27.111	6.081	18.20	16.25
1	105	2	28.595	2.621	12.30	11.60
1	106	3	28.438	29.824	10.80	7.00
