site	tree_no	species	age	h	dbh	v
clg1	5000	SS	4	1.20000000	1.13013397	0.00035012
clg1	5000	SS	5	1.60000000	1.70765055	0.00069044
clg1	5000	SS	6	2.00000000	2.45247810	0.00126997
clg1	5000	SS	7	2.40000000	3.45895659	0.00243254
clg1	5000	SS	8	2.80000000	4.41545704	0.00392771
clg1	5000	SS	9	3.25000000	5.47132209	0.00544950
clg1	5000	SS	10	3.75000000	6.62109686	0.00808453
clg1	5000	SS	11	4.25000000	7.64154436	0.01132077
clg1	5000	SS	12	4.75000000	8.55626173	0.01511922
clg1	5000	SS	13	5.33333333	9.48867301	0.01990300
clg1	5000	SS	14	6.00000000	10.44964129	0.02613469
clg1	5000	SS	15	6.66666667	11.28944731	0.03278451
clg1	5000	SS	16	7.33333333	11.93709215	0.03965526
clg1	5000	SS	17	8.00000000	12.55131127	0.04808048
clg1	5000	SS	18	8.66666667	13.06408164	0.05765339
clg1	5000	SS	19	9.50000000	13.65074472	0.06831197
clg1	5000	SS	20	10.50000000	14.25565399	0.08062102
clg1	5000	SS	21	11.33333333	14.76183510	0.09249238
clg1	5000	SS	22	12.00000000	15.30080663	0.10699098
clg1	5000	SS	23	12.66666667	15.93901089	0.12341533
clg1	5000	SS	24	13.25000000	16.43312854	0.13797769
clg1	5000	SS	25	13.75000000	17.05158785	0.15462085
clg1	5000	SS	26	14.25000000	17.79576658	0.17566623
clg1	5000	SS	27	14.75000000	18.53758175	0.19874020
clg1	5000	SS	28	15.25000000	19.44698080	0.22827258
clg1	5000	SS	29	15.75000000	20.55124782	0.26134570
clg1	5000	SS	30	16.25000000	21.53136476	0.29408654
clg1	5000	SS	31	16.75000000	22.70947899	0.33090308
clg1	5000	SS	32	17.25000000	23.81720839	0.36695736
clg1	5000	SS	33	17.75000000	24.76623202	0.40451246
clg1	5000	SS	34	18.25000000	25.66459971	0.44667054
clg1	5000	SS	35	18.75000000	26.54481612	0.48991874
clg1	5000	SS	36	19.25000000	27.41269069	0.53796827
clg1	5000	SS	37	19.75000000	28.43652110	0.59190445
clg1	5000	SS	38	20.25000000	29.58387332	0.65236291
clg1	5000	SS	39	20.75000000	30.70126749	0.71542623
clg1	5000	SS	40	21.33333333	31.65053263	0.77353987
clg1	5000	SS	41	22.00000000	32.56517076	0.83532843
clg1	5000	SS	42	22.66666667	33.57793177	0.90734326
clg1	5000	SS	43	23.50000000	34.50442473	0.97725730
clg1	5000	SS	44	24.50000000	35.25900764	1.03883493
clg1	5000	SS	45	25.33333333	35.99653370	1.10440705
clg1	5000	SS	46	26.00000000	36.92482041	1.18506491
clg1	5000	SS	47	26.66666667	37.78962780	1.25303901
clg1	5000	SS	48	27.15000000	38.73903512	1.31863667
