Number	Species	x	y	dbh	height
1	1	2.31	77.05	57.1	0
2	1	1.86	27.71	59.6	0
3	1	2.14	57.3	60.5	0
4	1	5.13	65.37	43.7	0
5	1	12.45	76.6	29	0
6	1	15.35	64.49	36	0
7	1	10.16	60.84	36.3	0
8	1	10.69	49.11	58.9	0
9	1	20.18	39.12	39.8	0
10	1	3.44	37.3	43	0
11	1	8.63	24.69	47.4	0
12	1	7.04	21.56	53.8	0
13	1	3.51	21.06	20	0
14	1	0.09	9.93	39	0
15	1	14.82	11.64	60.5	0
16	1	16.56	15.23	44.4	0
17	1	15.4	5.51	32	0
18	1	15.79	2.52	20	0
19	1	18.11	6.16	22	0
20	1	19.52	51.94	46.2	0
21	1	18.94	68.63	48.7	0
22	1	23.7	73.14	49.4	0
23	1	27.44	50.72	38.3	0
24	1	26.38	33.22	38.6	0
25	1	25.32	9.16	46.3	0
26	1	28.57	6.95	31.2	0
27	1	26.38	4.79	11.8	0
28	1	25.15	3.19	34	0
29	1	31.01	1.61	28	0
30	1	32.86	3.7	29	0
31	1	30.95	20.22	33.6	0
32	1	34.21	28.9	44	0
33	1	32.2	49.87	42.7	0
34	1	36.49	59.16	46.3	0
35	1	33.92	69.57	43.7	0
36	1	48.45	73.9	51.5	0
37	1	45.68	71.98	18.8	0
38	1	42.93	69.21	46.2	0
39	1	42.2	62.42	51.1	0
40	1	49.56	55.78	53.3	0
41	1	52.2	62.19	38.7	0
42	1	58.46	74.81	47.5	0
43	1	62.08	79.93	39.6	0
44	1	56.38	54.23	47.2	0
45	1	57.32	44.71	51	0
46	1	41.05	36.72	42.2	0
47	1	47.41	35.3	39.2	0
48	1	47.56	27.89	41.2	0
49	1	44.48	28.42	44	0
50	1	50.69	25.04	40.1	0
51	1	37.54	19.61	41.4	0
52	1	46.05	19.13	46.4	0
53	1	48.1	7.2	24.7	0
54	1	42.78	7.57	42.6	0
55	1	45.49	0.55	40.5	0
56	1	56.22	6.82	36.2	0
57	1	53.88	9.57	42	0
58	1	54.78	18.31	42.6	0
59	1	59.72	24.51	35.7	0
60	1	61.97	38.45	37.3	0
61	1	63.71	53.35	40.4	0
62	1	67.75	73.95	38	0
63	1	77.68	79.31	46	0
64	1	79.45	66.94	44.1	0
65	1	71.81	68.38	55.1	0
66	1	72.9	55.33	42.5	0
67	1	70.96	51.18	42	0
68	1	73.05	40.49	42	0
69	1	67.25	34.53	49.7	0
70	1	72.31	31.57	44.2	0
71	1	62.33	20.37	36	0
72	1	62.39	7.22	34.3	0
73	1	74.28	4.92	20.6	0
74	1	67.39	14.88	35.5	0
75	1	69.08	19.72	33.2	0
76	1	75.34	25.89	48.7	0
77	1	77.48	45.03	40.1	0
78	1	79.32	49.38	34.2	0
79	1	78.34	3.1	29.1	0
80	1	56.29	38.51	32.2	0
81	1	0.45	34.85	16.1	0
82	2	2.22	42.36	20.3	0
83	2	5.75	47.66	47.5	0
84	2	1.45	51.65	12.4	0
85	2	1.62	71.67	22.3	0
86	2	5.4	76.03	22.1	0
87	2	7.44	78.23	46.3	0
88	2	8.23	72.85	40	0
89	2	10.34	69.94	11.2	0
90	2	12.73	74.44	14.6	0
91	2	13.16	74.18	15.5	0
92	2	11.39	67.66	25.5	0
93	2	15.44	69.26	20.8	0
94	2	15.11	58.88	27.2	0
95	2	6.76	55.32	23.3	0
96	2	5.97	51.7	19	0
97	2	4.79	51.3	13	0
98	2	11.55	47.27	17.4	0
99	2	17.78	47.95	22	0
100	2	12.25	40.42	38.7	0
101	2	18.14	40.8	24.1	0
102	2	19.31	28.01	23.4	0
103	2	17	23.64	30.1	0
104	2	4.71	36.26	18.7	0
105	2	6.52	35.34	18.4	0
106	2	7.71	37.21	15.5	0
107	2	8.68	27.46	22.3	0
108	2	8.55	19.99	13.2	0
109	2	8.24	18.88	16.6	0
110	2	7.88	19.36	26.3	0
111	2	2.78	17.25	13.6	0
112	2	2.18	14.36	17	0
113	2	1.04	4.53	16.2	0
114	2	4.78	7.26	14.8	0
115	2	5.12	8.63	34.1	0
116	2	6.8	5.44	33.8	0
117	2	10.59	6.79	16.4	0
118	2	9.05	7.62	13.3	0
119	2	9.29	8.37	31.6	0
120	2	12.67	14.5	28.2	0
121	2	16.44	17.7	28.4	0
122	2	32.87	15.62	23.2	0
123	2	21.45	16.81	19.1	0
124	2	22.29	16.93	21.6	0
125	2	20.49	20.09	15.4	0
126	2	23.38	26.74	13.7	0
127	2	21.55	29.22	22	0
128	2	21.97	31.38	18.8	0
129	2	23.52	39.26	16.2	0
130	2	23.74	39.9	25.4	0
131	2	20.85	45.48	21.3	0
132	2	24.06	79.52	26.4	0
133	2	23.85	66.38	18.7	0
134	2	26.86	64.85	57.4	0
135	2	27.27	59.54	16.5	0
136	2	28.23	60.04	29	0
137	2	28.8	53.77	19.8	0
138	2	31.49	46.61	20.8	0
139	2	29.18	43.37	20	0
140	2	30.36	42.42	54.8	0
141	2	29.19	34.72	24.6	0
142	2	26.02	19.6	22.5	0
143	2	26.4	18.37	18.6	0
144	2	23	4.59	27	0
145	2	32.26	16.73	14	0
146	2	32.04	20.02	28.8	0
147	2	33.31	26.02	21.8	0
148	2	33.38	42.66	13.5	0
149	2	33.44	51.76	22.6	0
150	2	37.66	54.88	19.7	0
151	2	37.15	56.07	17.8	0
152	2	37.49	63.66	27	0
153	2	35.4	67.49	20.5	0
154	2	33.22	75.95	23.7	0
155	2	33.4	77.84	18.5	0
156	2	39.61	76.64	43.2	0
157	2	39.05	76.78	18.5	0
158	2	36.76	76.2	29.3	0
159	2	47.66	75.75	20	0
160	2	46.88	71.83	19.6	0
161	2	39.81	68.25	16.7	0
162	2	41.28	66.03	18.1	0
163	2	45.2	62.24	14.8	0
164	2	42.76	59.67	22.2	0
165	2	44.33	57.76	18	0
166	2	43.9	55.43	18	0
167	2	46.65	49.29	19.6	0
168	2	43.6	48.59	14	0
169	2	47.21	43.7	47.5	0
170	2	75.06	61.86	31	0
171	2	50.87	63.45	17.4	0
172	2	54.25	63.71	24.8	0
173	2	58.05	67.53	25.6	0
174	2	54.03	76.84	16.5	0
175	2	55.92	75.68	17.5	0
176	2	59.1	75.86	22	0
177	2	58.4	61.73	14.2	0
178	2	57.24	51.46	16	0
179	2	56.06	49.85	14.9	0
180	2	58.35	47.61	14	0
181	2	53.2	48.7	22.6	0
182	2	53.38	43.9	17.2	0
183	2	54.61	42.48	18.2	0
184	2	42.04	40.45	26	0
185	2	43.17	38.25	16	0
186	2	47.11	34.24	15.4	0
187	2	44.38	26.02	15.1	0
188	2	49.6	29.12	14.5	0
189	2	38.39	14.74	22.6	0
190	2	44.45	18.71	15.4	0
191	2	46.98	13.13	19.8	0
192	2	44.35	10.68	27.9	0
193	2	40.1	7.58	37	0
194	2	57.05	5.27	28	0
195	2	50.77	7.34	20.5	0
196	2	50.53	9.48	21.5	0
197	2	55.86	12.51	26.4	0
198	2	56.67	29.65	15.6	0
199	2	57.21	29.86	21	0
200	2	59.76	30.69	47	0
201	2	56.68	36.04	13.5	0
202	2	61.84	45.25	53	0
203	2	63.45	45.77	15.3	0
204	2	61.96	50.08	22.8	0
205	2	67.43	54.43	18	0
206	2	68.92	57.1	25.3	0
207	2	65.06	59.91	23	0
