plotNumber	radius	treeNumber	species	azimuth	distance	dbh	height
1	12.62	1	BE	24	11.85	35.00	22.00
1	12.62	2	BE	39	9.39	12.50	14.00
1	12.62	3	BE	41	12.23	9.90	11.80
1	12.62	4	BE	46	11.00	16.00	13.60
1	12.62	5	BE	58	10.75	27.70	22.90
1	12.62	6	BE	61	4.67	17.70	10.60
1	12.62	7	BE	75	7.85	13.30	11.00
1	12.62	8	BE	84	1.10	11.10	10.90
1	12.62	9	BE	97	9.05	16.20	11.20
1	12.62	11	BE	129	5.40	20.90	10.90
1	12.62	13	BE	161	4.75	15.00	23.00
1	12.62	14	BE	162	3.10	11.60	19.60
1	12.62	16	BE	174	5.00	26.50	17.40
1	12.62	17	BE	183	11.20	19.70	13.30
1	12.62	19	BE	193	7.40	13.70	13.30
1	12.62	20	BE	202	6.85	18.60	14.80
1	12.62	21	BE	207	5.10	19.00	14.80
1	12.62	22	BE	221	5.60	12.20	10.30
1	12.62	23	BE	226	12.55	33.20	17.90
1	12.62	24	BE	241	11.75	32.80	17.50
1	12.62	25	BE	259	6.65	28.00	19.20
1	12.62	27	BE	261	2.65	16.30	13.40
1	12.62	28	BE	261	9.30	31.00	16.00
1	12.62	29	BE	270	9.90	17.10	13.50
1	12.62	30	BE	280	10.10	23.80	16.40
1	12.62	32	BE	285	3.60	19.70	11.50
1	12.62	33	BE	288	9.60	28.20	13.10
1	12.62	34	BE	291	6.80	13.30	12.20
1	12.62	35	BE	297	8.35	15.60	14.50
1	12.62	37	BE	313	6.95	12.00	9.30
1	12.62	38	BE	316	6.10	12.00	19.40
1	12.62	39	BE	329	10.90	32.30	17.50
1	12.62	40	BE	334	10.00	21.30	18.10
1	12.62	41	BE	342	7.65	21.20	17.90
1	12.62	42	BE	344	10.95	26.30	16.70
1	12.62	43	BE	350	9.40	12.50	15.70
1	12.62	44	BE	358	2.05	19.50	17.40
2	12.62	3	BE	98.1	7.46	19.00	3.10
2	12.62	7	BE	167.4	9.10	16.00	14.30
2	12.62	13	BE	263.7	10.50	18.00	20.00
2	12.62	23	BE	358.2	7.20	29.00	15.00
3	12.62	1	BE	147	3.90	20.00	22.40
3	12.62	2	BE	150	7.00	13.50	17.00
3	12.62	6	BE	162	9.58	28.50	14.30
3	12.62	8	BE	178	11.75	19.70	14.90
3	12.62	9	BE	189	10.51	16.50	10.90
3	12.62	10	BE	173	6.22	17.70	20.80
3	12.62	11	BE	196	3.45	30.30	24.70
3	12.62	13	BE	308	4.85	25.60	25.70
3	12.62	14	BE	308	12.15	18.00	15.40
3	12.62	16	BE	335	8.23	16.00	22.90
3	12.62	18	BE	18	0.85	19.00	10.40
3	12.62	19	BE	20	1.90	22.00	24.70
3	12.62	21	BE	18	21.80	31.20	25.00
3	12.62	25	BE	100	4.10	20.00	25.80
3	12.62	26	BE	104	5.62	14.50	22.80
3	12.62	27	BE	116	12.50	20.00	20.80
3	12.62	28	BE	139	7.55	21.80	22.20
4	12.62	1	BE	8	10.03	12.70	10.00
4	12.62	2	BE	12	6.08	21.00	16.60
4	12.62	4	BE	17	12.53	10.10	11.70
4	12.62	5	BE	21	10.02	13.10	15.60
4	12.62	6	BE	38	6.55	20.60	17.70
4	12.62	7	BE	40	9.21	14.20	14.10
4	12.62	8	BE	82	10.10	21.20	14.20
4	12.62	9	BE	132	9.34	23.80	18.10
4	12.62	10	BE	136	12.38	17.70	12.20
4	12.62	12	BE	152	4.53	23.20	18.90
4	12.62	13	BE	156	8.70	19.40	14.50
4	12.62	14	BE	170	11.01	15.00	15.10
4	12.62	15	BE	179	11.07	11.80	14.40
4	12.62	17	BE	190	9.33	19.10	16.00
4	12.62	19	BE	237	12.08	14.70	12.30
4	12.62	22	BE	321	10.75	17.50	16.40
4	12.62	23	BE	324	11.74	30.90	18.30
4	12.62	24	BE	331	8.19	20.30	15.40
4	12.62	25	BE	333	11.69	15.60	15.90
1	12.62	10	NS	115	9.60	58.60	35.70
1	12.62	12	NS	140	11.80	57.20	31.00
1	12.62	15	NS	162	8.60	63.50	35.50
1	12.62	18	NS	184	3.95	65.00	33.20
